関東,東京（全域）,[ＪＲ]京浜東北線(大宮〜横浜),,http://ekikara.jp/newdata/line/1301101.htm
関東,東京（全域）,[ＪＲ]山手線(大崎〜大崎),,http://ekikara.jp/newdata/line/1301041.htm
関東,東京（全域）,[ＪＲ]中央線「快速」(東京〜高尾),,http://ekikara.jp/newdata/line/1301062.htm
関東,東京（全域）,[ＪＲ]京葉線(東京〜蘇我),,http://ekikara.jp/newdata/line/1301231.htm
関東,東京（全域）,[ＪＲ]東海道本線(東京〜熱海),,http://ekikara.jp/newdata/line/1301131.htm
関東,東京（全域）,[ＪＲ]埼京線(大崎〜大宮),,http://ekikara.jp/newdata/line/1301081.htm
関東,東京（全域）,[ＪＲ]南武線(川崎〜立川),,http://ekikara.jp/newdata/line/1301351.htm
関東,東京（全域）,[ＪＲ]総武線「快速」(東京〜千葉),,http://ekikara.jp/newdata/line/1301072.htm
関東,東京（全域）,[ＪＲ]横須賀線(東京〜久里浜),,http://ekikara.jp/newdata/line/1301291.htm
関東,東京（全域）,[ＪＲ]青梅線(立川〜奥多摩),,http://ekikara.jp/newdata/line/1301181.htm
関東,東京（全域）,[ＪＲ]横浜線(東神奈川〜八王子),,http://ekikara.jp/newdata/line/1301121.htm
関東,東京（全域）,[ＪＲ]上野東京ライン(東京〜上野),,http://ekikara.jp/newdata/line/1310101.htm
関東,東京（全域）,[ＪＲ]常磐線「各駅停車」(綾瀬〜取手),,http://ekikara.jp/newdata/line/1301242.htm
関東,東京（全域）,[ＪＲ]東北本線(宇都宮線)(上野〜黒磯),,http://ekikara.jp/newdata/line/1301141.htm
関東,東京（全域）,[ＪＲ]武蔵野線(府中本町〜西船橋),,http://ekikara.jp/newdata/line/1301371.htm
関東,東京（全域）,[ＪＲ]中央本線(東京〜塩尻),,http://ekikara.jp/newdata/line/1301061.htm
関東,東京（全域）,[ＪＲ]常磐線(上野〜仙台),,http://ekikara.jp/newdata/line/1301241.htm
関東,東京（全域）,[ＪＲ]高崎線(上野〜高崎),,http://ekikara.jp/newdata/line/1301201.htm
関東,東京（全域）,[ＪＲ]常磐線「快速」(上野〜取手),,http://ekikara.jp/newdata/line/1301243.htm
関東,東京（全域）,[ＪＲ]湘南新宿ライン(大宮〜大船),,http://ekikara.jp/newdata/line/1301731.htm
関東,東京（全域）,[ＪＲ]八高線(八王子〜高麗川),,http://ekikara.jp/newdata/line/1301641.htm
関東,東京（全域）,[ＪＲ]五日市線(拝島〜武蔵五日市),,http://ekikara.jp/newdata/line/1301191.htm
関東,東京（全域）,[小田急]小田原線(新宿〜松田・小田原),,http://ekikara.jp/newdata/line/1306011.htm
関東,東京（全域）,[東武]伊勢崎線(浅草・押上〜伊勢崎),,http://ekikara.jp/newdata/line/1303011.htm
関東,東京（全域）,[京急]本線(泉岳寺〜浦賀),,http://ekikara.jp/newdata/line/1308011.htm
関東,東京（全域）,[東京メトロ]丸ノ内線(池袋〜方南町・荻窪),,http://ekikara.jp/newdata/line/1310021.htm
関東,東京（全域）,[西武]池袋線(池袋〜飯能),,http://ekikara.jp/newdata/line/1304011.htm
関東,東京（全域）,[東武]東上本線(池袋〜寄居),,http://ekikara.jp/newdata/line/1303111.htm
関東,東京（全域）,[京王]京王線(新宿〜京王八王子),,http://ekikara.jp/newdata/line/1305011.htm
関東,東京（全域）,[東京メトロ]有楽町線(和光市〜新木場),,http://ekikara.jp/newdata/line/1310061.htm
関東,東京（全域）,[東急]東横線(渋谷〜横浜),,http://ekikara.jp/newdata/line/1307011.htm
関東,東京（全域）,[東京メトロ]銀座線(浅草〜渋谷),,http://ekikara.jp/newdata/line/1310011.htm
関東,東京（全域）,[都営]浅草線(押上〜西馬込),,http://ekikara.jp/newdata/line/1311011.htm
関東,東京（全域）,[西武]新宿線(西武新宿〜本川越),,http://ekikara.jp/newdata/line/1304061.htm
関東,東京（全域）,[京王]井の頭線(渋谷〜吉祥寺),,http://ekikara.jp/newdata/line/1305061.htm
関東,東京（全域）,[京成]本線(京成上野〜東成田・成田空港),,http://ekikara.jp/newdata/line/1302011.htm
関東,東京（全域）,[東急]田園都市線(渋谷〜中央林間),,http://ekikara.jp/newdata/line/1307051.htm
関東,東京（全域）,[都電]荒川線(三ノ輪橋〜早稲田),,http://ekikara.jp/newdata/line/1311051.htm
関東,東京（全域）,東京モノレール(浜松町〜羽田空港第２ビル),,http://ekikara.jp/newdata/line/1312011.htm
関東,東京（全域）,[東京メトロ]東西線(西船橋〜中野),,http://ekikara.jp/newdata/line/1310041.htm
関東,東京（全域）,[東京メトロ]日比谷線(北千住〜中目黒),,http://ekikara.jp/newdata/line/1310031.htm
関東,東京（全域）,[東京メトロ]副都心線(渋谷〜和光市),,http://ekikara.jp/newdata/line/1310091.htm
関東,東京（全域）,[東京メトロ]半蔵門線(渋谷〜押上),,http://ekikara.jp/newdata/line/1310071.htm
関東,東京（全域）,[東急]目黒線(目黒〜日吉),,http://ekikara.jp/newdata/line/1307021.htm
関東,東京（全域）,[京成]押上線(押上〜京成高砂),,http://ekikara.jp/newdata/line/1302021.htm
関東,東京（全域）,[東急]大井町線(大井町〜溝の口),,http://ekikara.jp/newdata/line/1307061.htm
関東,東京（全域）,ゆりかもめ(新橋〜豊洲),,http://ekikara.jp/newdata/line/1314011.htm
関東,東京（全域）,[東京メトロ]千代田線(代々木上原〜綾瀬),,http://ekikara.jp/newdata/line/1310051.htm
関東,東京（全域）,[都営]日暮里舎人ライナー(日暮里〜見沼代親水公園),,http://ekikara.jp/newdata/line/1311042.htm
